BatName,FlavorFed,FlavorFirstApproached,Test,PartnerFlavor,Outcome
Kiwi,ginger,anise,conflicting,anise,1
Flamingo,anise,NA,conflicting,ginger,NA
Crow,anise,NA,personal,plain,NA
Pelican,plain,NA,demonstrator,anise,NA
Kiwi,nutmeg,NA,personal,plain,NA
Flamingo,plain,nutmeg,demonstrator,nutmeg,1
Crow,chocolate,almond,conflicting,almond,1
Pelican,almond,NA,conflicting,chocolate,NA
Puffin,plain,almond,demonstrator,almond,1
Kestrel,almond,NA,personal,plain,NA
Phesant,anise,NA,personal,plain,NA
Cedar,plain,anise,demonstrator,anise,1
Puffin,anise,nutmeg,personal,plain,0
Kestrel,plain,NA,demonstrator,anise,NA
Phesant,ginger,almond,conflicting,almond,1
Cedar,almond,ginger,conflicting,ginger,1
Puffin,chocolate,coffee,conflicting,coffee,1
Kestrel,coffee,chocolate,conflicting,chocolate,1
Phesant,plain,nutmeg,demonstrator,coffee,0
Cedar,coffee,nutmeg,personal,plain,0
Jacana,chocolate,chocolate,personal,plain,1
Jay,plain,anise,demonstrator,chocolate,0
Sapphire,ginger,ginger,conflicting,coffee,0
Finch,coffee,NA,conflicting,ginger,NA
Jacana,almond,almond,conflicting,ginger,0
Jay,ginger,almond,conflicting,almond,1
Sapphire,plain,NA,demonstrator,almond,NA
Finch,almond,NA,personal,plain,NA
Jacana,plain,nutmeg,demonstrator,nutmeg,1
Jay,nutmeg,coffee,personal,plain,0
Sapphire,nutmeg,anise,personal,plain,0
Finch,plain,NA,demonstrator,nutmeg,NA
Skimmer,plain,NA,demonstrator,coffee,NA
Killdeer,coffee,coffee,personal,plain,1
Jabiru,nutmeg,NA,conflicting,ginger,NA
Flacon,ginger,ginger,conflicting,nutmeg,0
Sawinson,almond,NA,personal,plain,NA
Cooper,plain,NA,demonstrator,almond,NA
Skimmer,almond,ginger,conflicting,ginger,1
Killdeer,ginger,almond,conflicting,almond,1
Jabiru,almond,NA,personal,plain,NA
Flacon,plain,almond,demonstrator,almond,1
Sawinson,plain,NA,demonstrator,nutmeg,NA
Cooper,nutmeg,nutmeg,personal,plain,1
Skimmer,chocolate,chocolate,personal,plain,1
Killdeer,plain,anise,demonstrator,chocolate,0
Jabiru,plain,NA,demonstrator,coffee,NA
Flacon,coffee,coffee,personal,plain,1
Sawinson,ginger,ginger,conflicting,coffee,0
Cooper,coffee,ginger,conflicting,ginger,1
Penguin,chocolate,chocolate,conflicting,coffee,0
Colibri,coffee,NA,conflicting,chocolate,NA
Warbler,almond,almond,personal,plain,1
Coot,plain,almond,demonstrator,almond,1
Penguin,plain,ginger,demonstrator,nutmeg,0
Colibri,nutmeg,NA,personal,plain,NA
Warbler,plain,anise,demonstrator,anise,1
Coot,anise,anise,personal,plain,1
Penguin,almond,almond,personal,plain,1
Colibri,plain,NA,demonstrator,almond,NA
Warbler,coffee,coffee,conflicting,nutmeg,0
Coot,nutmeg,nutmeg,conflicting,coffee,0
Hoopoe,chocolate,chocolate,personal,plain,1
Stork,plain,chocolate,demonstrator,chocolate,1
Hoopoe,plain,coffee,demonstrator,coffee,1
Stork,coffee,coffee,personal,plain,1
Stork,almond,almond,conflicting,nutmeg,0
Hoopoe,nutmeg,nutmeg,conflicting,almond,0
Tuki,anise,anise,personal,plain,1
Scrub,plain,anise,demonstrator,anise,1
Tuki,plain,ginger,demonstrator,ginger,1
Scrub,ginger,ginger,personal,plain,1
Scrub,almond,coffee,conflicting,coffee,1
Screamer,plain,ginger,demonstrator,almond,0
Booby,almond,NA,personal,plain,NA
Pecker,chocolate,NA,conflicting,anise,NA
Shags,anise,anise,conflicting,chocolate,0
Screamer,nutmeg,nutmeg,conflicting,coffee,0
Booby,coffee,nutmeg,conflicting,nutmeg,1
Pecker,nutmeg,NA,personal,plain,NA
Shags,plain,NA,demonstrator,nutmeg,NA
Screamer,chocolate,anise,personal,plain,0
Booby,plain,NA,demonstrator,chocolate,NA
Pecker,plain,almond,demonstrator,ginger,0
Shags,ginger,NA,personal,plain,NA
